# step,acceptance,delta_H
940, 0.701382, 0.359642
941, 0.701699, 0.119838
942, 0.702015, -0.68977
943, 0.701271, 0.776466
944, 0.701587, -0.425815
945, 0.700846, 0.347588
946, 0.701162, -0.376587
947, 0.700422, 0.958776
948, 0.699684, 1.45525
949, 0.698947, 0.859445
950, 0.699264, 0.168676
951, 0.698529, 0.785752
952, 0.697796, 0.69207
953, 0.698113, -0.9767
954, 0.698429, -0.608618
955, 0.698745, 0.797996
956, 0.69906, 0.0770732
957, 0.69833, 0.776428
958, 0.698644, -0.00182674
959, 0.698958, -0.455261
960, 0.698231, 0.821114
961, 0.698545, -0.252585
962, 0.698858, -0.166243
963, 0.69917, -0.591414
964, 0.698446, 0.579504
965, 0.698758, 0.136536
966, 0.699069, 0.488694
967, 0.69938, 0.706342
968, 0.69969, -0.325181
969, 0.698969, 0.848418
970, 0.698249, 0.302121
971, 0.697531, 0.486601
972, 0.696814, 0.301119
973, 0.697125, 0.043988
974, 0.697436, -0.326444
975, 0.697746, -1.21986
976, 0.698055, -0.502346
977, 0.697342, 0.986668
978, 0.696629, 0.785211
979, 0.696939, 0.102647
980, 0.697248, 0.223377
981, 0.696538, 0.716426
982, 0.696846, -0.664625
983, 0.696138, 0.355088
984, 0.696447, -0.631598
985, 0.696755, -0.659667
986, 0.697062, -0.0476772
987, 0.696356, 0.979295
988, 0.696663, 1.18393
989, 0.69596, 0.597799
990, 0.696266, -0.163742
